Keyword,Count
예산,979
축제,888
맥주,866
백종원,815
감사합니다,791
대표,773
합니다,431
진짜,420
좋은,402
영상,379
사람,349
바베큐,325
시장,325
지역,280
응원,264
존경,253
하는,251
항상,236
강아지,235
입니다,229
최고,225
보고,211
정말,201
주셔서,195
오늘,195
감사합니,189
음식,186
방문,175
먹고,172
시간,169
가격,159
건물,157
사랑,157
선생님,154
감사,145
사업,144
직원,143
사장,139
건강,133
대박,130
정치,130
화이팅,125
역시,122
생각,119
다음,111
주말,110
한국,105
하면,103
페스티벌,100
대통령,97
갑니다,96
행복하게,94
먹는,93
행복한,93
많은,93
아빠,90
이제,89
영향력,88
구독,87
가고,86
모두,86
우리,86
계속,86
산시,84
식당,84
대한민국,83
하루,83
행사,82
진심,82
감사해요,82
해서,80
있는,79
건강하게,78
좋아요,77
댓글,77
종원,76
코리아,75
나라,72
치료,71
애견,70
장님,69
해주셔서,69
마음,69
없는,69
싶다,68
간식,67
우리나라,66
모습,66
싶어요,65
맛있어,65
좋네요,65
잼버리,65
만리,64
내년,64
유튜브,63
드립니다,62
청년,62
조만간,61
보기,61
맛있는,61
가족,60
행복하세요,60
정치인,60
하나,59
발전,59
행복,59
멋진,59
맛있게,58
여행,57
돼지,57
사업가,56
시청,56
먹어,56
모든,55
고기,55
여기,54
행복해,54
성공,53
여사,53
같은,53
이번,53
해야,52
먹을,52
사회,52
맛집,52
고향,52
똑똑하고,51
감사해,51
상인,51
네루,51
가게,50
하세요,50
좋을,49
다른,49
인간,49
걱정,48
자주,48
저희,48
경제,48
같아,48
즐거운,48
봐주셔서,48
개발,47
했어요,47
시작,47
하시는,46
하실,46
추천,45
요즘,45
정도,45
해도,45
건강하고,45
거리,45
손님,45
되는,45
좋겠어요,44
고생,44
보내세요,44
독자,44
사료,44
처음,44
보면,43
고맙습니다,43
맛있겠다,43
충분히,43
힐링,43
먹거리,42
하네,42
준비,42
혼자,42
행복하세,42
골목,42
선한,41
오래오래,41
요리,41
이런,40
예산군,40
보니,40
먹방,40
하고,40
건강하시고,40
싶네요,40
다시,40
정보,40
좋다,40
멋있다,39
군수,39
사상충,39
받으실,39
지금,39
날씨,38
견생,38
아이,38
바가지,38
나도,38
형님,38
동안,38
좋아,37
귀여워,37
진출,37
